,Nombre Entidad,Descripcion del Proceso,Tipo de Contrato,Género Representante Legal,Valor real,Valor Proyectado,Duración del contrato,Tamaño valor extraño,veces la predicción,URLProceso,similarity
299004,DEPARTAMENTO DE ANTIOQUIA,Suscripción en medio de información y prensa  Periódico El Tiempo,Prestación de servicios,Mujer,0.5799000000000001,104.79201279100873,12 Mes(es),-179.70704050872342,0.005533818700061806,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6668986&isFromPublicArea=True&isModal=true&asPopupView=true,0.3188294768333435
441629,FONPRECON,Prestación de los servicios de edición para la publicación de edictos en prensa y radio; para las dependencias del Fondo de Previsión Social del Congreso de la República,Prestación de servicios,Mujer,0.37399999999999994,67.51308875743644,11 Mes(es),-179.51628010009745,0.005539666557750323,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5525161&isFromPublicArea=True&isModal=true&asPopupView=true,0.30260562896728516
214718,MUNICIPIO DE SAMACA,DIVULGACIÓN INFORMATIVA A TRAVÉS DEL KANAL TUNJA TELEVISIÓN; EN EL PROGRAMA MAGAZIN DE MAÑANITA Y EN REDES SOCIALES DE ESTE MEDIO DE COMUNICACIÓN DE LOS PROGRAMAS Y ACTIVIDADES ESTABLECIDAS EN EL PLAN DE DESARROLLO DE LA ADMINISTRACIÓN MUNICIPAL,Prestación de servicios,Hombre,2.0,98.15277472868965,1 Mes(es),-48.076387364344825,0.020376397972735133,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6433023&isFromPublicArea=True&isModal=true&asPopupView=true,0.3291533589363098
670713,EPGA S.A E.S.P,PRESTAR EL SERVICIO DE TRANSMISIÓN DE CUÑAS PUBLICITARIAS RADIALES DE EMPRESAS PÚBLICAS DE GARAGOA S.A ESP.,Compraventa,Hombre,3.6,166.0351423228177,344 Dia(s),-45.120872867449364,0.02168215685930281,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5421140&isFromPublicArea=True&isModal=true&asPopupView=true,0.32642480731010437
452467,ESE HOSPITAL SAN ROQUE1,SERVICIOS EN COMUNICACIÓN Y PUBLICIDAD RADIAL Y EN EL MANTENIMIENTO DE REDES SOCIALES Y PUBLICITARIOS PARA LAS ACTIVIDADES DEL PLAN DE INTERVENCIONES COLECTIVA PIC DE LA ESE HOSPITAL SAN ROQUE,Decreto 092 de 2017,Mujer,9.500000000000002,315.502210824857,105 Dia(s),-32.21075903419547,0.03011072402682365,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6732045&isFromPublicArea=True&isModal=true&asPopupView=true,0.3482394516468048
825462,GOBERNACIÓN DE RISARALDA,PRESTACION DE SERVIOS PARA DIFUNDIR LA CAMPAÑA INSTITUCIONAL DE ANTICONTRABANDO A TRAVÉS DE MEDIOS MASIVOS DE COMUNICACIÓN RADIALES; DE PRENSA; MEDIOS DIGITALES Y TELEVISIVOS; DONDE SE GENEREN CAMPAÑAS EDUCATIVAS PARA EVITAR EL CONTRABANDO Y LA EVASIÓN FISCAL EN EL DEPARTAMENTO; ESPECIALMENTE CON LA,Prestación de servicios,Hombre,4.000000000000001,130.20118104476242,45 Dia(s),-31.5502952611906,0.030721687529276894,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6978018&isFromPublicArea=True&isModal=true&asPopupView=true,0.3296493887901306
282554,ESE HOSPITAL SAN ROQUE1,PRESTAR LOS SERVICIOS PROFESIONALES EN COMUNICACIÓN Y PUBLICIDAD RADIAL; Y EN EL MANTENIMIENTO DE LAS REDES SOCIALES Y PUBLICITARIOS PARA LA ESE HOSPITAL SAN ROQUE,Decreto 092 de 2017,Hombre,1.8,51.706836247786605,45 Dia(s),-27.726020137659226,0.034811644467554366,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5451065&isFromPublicArea=True&isModal=true&asPopupView=true,0.35339534282684326
277828,"INSTITUTO MUNICIPAL PARA EL DESARROLLO Y LA PRACTICA DEL DEPORTE, LA RECREACIÓN Y EL APROVECHAMIENTO DEL TIEMPO LIBRE, INDER GUARNE",PRESTACIÓN DE SERVICIOS DE DIFUSIÓN Y DIVULGACIÓN DE LOS PROGRAMAS; PROYECTOS Y LA GESTIÓN DEL INDER GUARNE A TRAVÉS DE MEDIOS DE COMUNICACIÓN MASIVOS Y REDES SOCIALES.,Prestación de servicios,Mujer,3.0,80.8769246007335,5 Mes(es),-25.958974866911166,0.037093398578273734,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6371798&isFromPublicArea=True&isModal=true&asPopupView=true,0.31585192680358887
773821,PERSONERIA MUNICIPAL DE FUSAGASUGA,PRESTAR LOS SERVICIOS DE DIVULGACION DE LA INFORMACION DE LA PERSONERIA MUNICIPAL DE FUSAGASUGA A TRAVES DE UN MEDIO DIGITAL DE NOTICIAS.,Prestación de servicios,Hombre,4.1000000000000005,108.28361184039689,11 Mes(es),-25.41063703424314,0.037863531981581273,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5571108&isFromPublicArea=True&isModal=true&asPopupView=true,0.33524206280708313
499035,ALCALDIA DE CAICEDONIA,Servicio de Publicidad Radial en programación general de emisora con cubrimiento regional; en frecuencia FM y en internet; 12 Cuñas diarias de 30 segundos cada una de lunes a sábado.,Prestación de servicios,Hombre,4.199640000000001,94.4542281620769,92 Dia(s),-21.491029745901283,0.04446217053188673,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6242576&isFromPublicArea=True&isModal=true&asPopupView=true,0.3150058090686798
