,Departamento Entidad,Ciudad Entidad
0,CESAR,VALLEDUPAR
1,QUINDÍO,ARMENIA
2,DISTRITO CAPITAL DE BOGOTÁ,BOGOTÁ
3,ATLÁNTICO,BARRANQUILLA
5,MAGDALENA,SANTA MARTA
6,BOLÍVAR,CARTAGENA
7,CUNDINAMARCA,SAN ANTONIO DEL TEQUENDAMA
8,CÓRDOBA,NO DEFINIDO
9,CALDAS,MANIZALES
10,TOLIMA,ICONONZO
11,CAUCA,POPAYÁN
14,VALLE DEL CAUCA,CALI
15,NARIÑO,NO DEFINIDO
16,MAGDALENA,CIÉNAGA
17,CASANARE,YOPAL
19,RISARALDA,PEREIRA
23,NARIÑO,PASTO
27,DISTRITO CAPITAL DE BOGOTÁ,NO DEFINIDO
30,PUTUMAYO,MOCOA
32,BOLÍVAR,SIMITÍ
34,CALDAS,ARANZAZU
35,SANTANDER,SAN VICENTE DE CHUCURÍ
36,VALLE DEL CAUCA,NO DEFINIDO
37,BOLÍVAR,TURBACO
38,CUNDINAMARCA,PARATEBUENO
39,ANTIOQUIA,SALGAR
44,CESAR,EL PASO
47,TOLIMA,IBAGUÉ
48,META,VILLAVICENCIO
49,SANTANDER,GALÁN
52,CHOCÓ,QUIBDÓ
55,ANTIOQUIA,LA CEJA
56,TOLIMA,HONDA
57,TOLIMA,PLANADAS
58,NARIÑO,LA UNIÓN
60,NARIÑO,SAMANIEGO
63,ANTIOQUIA,MEDELLÍN
66,BOLÍVAR,CÓRDOBA
69,SANTANDER,BUCARAMANGA
71,HUILA,NEIVA
77,CUNDINAMARCA,MOSQUERA
80,SANTANDER,PIEDECUESTA
88,TOLIMA,NO DEFINIDO
94,CASANARE,NO DEFINIDO
95,QUINDÍO,CÓRDOBA
96,ANTIOQUIA,ENVIGADO
98,ATLÁNTICO,SOLEDAD
99,ANTIOQUIA,GUATAPE
106,CUNDINAMARCA,SOPÓ
109,CUNDINAMARCA,FACATATIVÁ
110,META,ACACÍAS
116,SANTANDER,CONTRATACIÓN
119,ANTIOQUIA,GIRARDOTA
123,CUNDINAMARCA,FOSCA
136,ANTIOQUIA,NO DEFINIDO
138,NARIÑO,YACUANQUER
142,ANTIOQUIA,RIONEGRO
145,NARIÑO,CHACHAGÜÍ
147,RISARALDA,DOSQUEBRADAS
152,PUTUMAYO,PUERTO ASÍS
155,NORTE DE SANTANDER,CÚCUTA
156,VALLE DEL CAUCA,CARTAGO
160,SANTANDER,NO DEFINIDO
161,ANTIOQUIA,BELLO
163,BOYACÁ,TIBASOSA
166,SANTANDER,FLORIDABLANCA
168,TOLIMA,LÍBANO
170,CESAR,SAN DIEGO
174,NO DEFINIDO,NO DEFINIDO
175,BOYACÁ,MUZO
176,SANTANDER,SAN GIL
177,PUTUMAYO,ORITO
179,ARAUCA,ARAUCA
180,CALDAS,RIOSUCIO
186,BOYACÁ,MONIQUIRÁ
187,LA GUAJIRA,ALBANIA
190,VALLE DEL CAUCA,TULUÁ
192,ANTIOQUIA,CAREPA
193,NARIÑO,IPIALES
196,TOLIMA,MELGAR
197,SANTANDER,BARRANCABERMEJA
201,BOYACÁ,TUNJA
202,LA GUAJIRA,FONSECA
203,NARIÑO,LA CRUZ
207,SUCRE,MAJAGUAL
214,CUNDINAMARCA,GIRARDOT
215,CUNDINAMARCA,TOCAIMA
220,ANTIOQUIA,MARINILLA
228,NARIÑO,CÓRDOBA
231,VALLE DEL CAUCA,YUMBO
232,ANTIOQUIA,SAN PEDRO DE URABA
237,VICHADA,PUERTO CARREÑO
240,"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",NO DEFINIDO
242,NORTE DE SANTANDER,VILLA DEL ROSARIO
252,CUNDINAMARCA,NO DEFINIDO
255,CÓRDOBA,CERETÉ
258,TOLIMA,SAN ANTONIO
269,CUNDINAMARCA,SAN JUAN DE RÍO SECO
275,BOYACÁ,PAIPA
276,SUCRE,COROZAL
277,NARIÑO,LEIVA
282,VALLE DEL CAUCA,DAGUA
291,MAGDALENA,NO DEFINIDO
292,CUNDINAMARCA,FUNZA
296,SUCRE,SINCELEJO
303,SANTANDER,RIONEGRO
313,CAQUETÁ,FLORENCIA
316,CESAR,AGUSTÍN CODAZZI
322,VALLE DEL CAUCA,CANDELARIA
324,BOYACÁ,DUITAMA
337,CAUCA,EL TAMBO
347,VALLE DEL CAUCA,GUADALAJARA DE BUGA
349,ANTIOQUIA,COPACABANA
356,BOLÍVAR,SANTA CATALINA
360,VALLE DEL CAUCA,PALMIRA
367,CÓRDOBA,MONTERÍA
368,RISARALDA,NO DEFINIDO
377,ANTIOQUIA,SABANETA
378,VALLE DEL CAUCA,TORO
381,ANTIOQUIA,LA PINTADA
385,NORTE DE SANTANDER,PAMPLONA
386,ANTIOQUIA,APARTADÓ
392,ANTIOQUIA,CAUCASIA
403,CUNDINAMARCA,SOACHA
405,CUNDINAMARCA,MEDINA
413,ANTIOQUIA,SOPETRÁN
415,TOLIMA,SAN LUIS
420,CUNDINAMARCA,NOCAIMA
422,BOYACÁ,LA UVITA
424,MAGDALENA,PIVIJAY
426,ANTIOQUIA,YARUMAL
428,QUINDÍO,CALARCA
436,TOLIMA,SALDAÑA
438,PUTUMAYO,SAN FRANCISCO
442,CUNDINAMARCA,VILLA DE SAN DIEGO DE UBATE
451,BOLÍVAR,SAN ESTANISLAO
453,BOLÍVAR,SAN JUAN NEPOMUCENO
454,ANTIOQUIA,SAN JERÓNIMO
457,TOLIMA,RONCESVALLES
464,MAGDALENA,ZONA BANANERA
467,AMAZONAS,LETICIA
469,MAGDALENA,FUNDACIÓN
472,SANTANDER,PUENTE NACIONAL
475,ANTIOQUIA,ITAGUI
479,PUTUMAYO,VALLE DEL GUAMUEZ
480,ANTIOQUIA,RETIRO
492,BOYACÁ,NO DEFINIDO
494,ANTIOQUIA,CAROLINA
505,CUNDINAMARCA,FUSAGASUGÁ
506,TOLIMA,CARMEN DE APICALÁ
507,"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",SAN ANDRÉS
509,MAGDALENA,SANTA ANA
511,CALDAS,NO DEFINIDO
513,NORTE DE SANTANDER,OCAÑA
518,CUNDINAMARCA,ARBELÁEZ
519,HUILA,CAMPOALEGRE
523,LA GUAJIRA,BARRANCAS
526,LA GUAJIRA,LA JAGUA DEL PILAR
538,CUNDINAMARCA,CHÍA
539,LA GUAJIRA,RIOHACHA
545,PUTUMAYO,VILLAGARZÓN
547,CESAR,NO DEFINIDO
550,SANTANDER,GUACA
552,CALDAS,VILLAMARÍA
554,CESAR,CHIRIGUANÁ
577,META,PUERTO RICO
586,TOLIMA,ESPINAL
589,CESAR,CHIMICHAGUA
591,SANTANDER,CONFINES
609,ANTIOQUIA,ENTRERRIOS
610,"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",PROVIDENCIA
614,MAGDALENA,EL BANCO
617,MAGDALENA,CHIBOLO
619,CALDAS,PENSILVANIA
625,ANTIOQUIA,DON MATÍAS
633,CAQUETÁ,NO DEFINIDO
641,HUILA,BARAYA
646,NARIÑO,TUMACO
649,QUINDÍO,MONTENEGRO
660,CUNDINAMARCA,LA MESA
668,CALDAS,VITERBO
672,MAGDALENA,EL RETÉN
676,MAGDALENA,PLATO
678,RISARALDA,PUEBLO RICO
679,BOLÍVAR,EL PEÑÓN
681,LA GUAJIRA,MAICAO
707,MAGDALENA,TENERIFE
725,HUILA,ALGECIRAS
738,BOYACÁ,SOGAMOSO
743,VALLE DEL CAUCA,EL DOVIO
763,CAQUETÁ,SOLANO
775,BOYACÁ,TOTA
776,LA GUAJIRA,NO DEFINIDO
788,HUILA,SALADOBLANCO
790,ANTIOQUIA,SAN CARLOS
791,LA GUAJIRA,URUMITA
805,MAGDALENA,PUEBLOVIEJO
808,VALLE DEL CAUCA,CAICEDONIA
817,NARIÑO,OSPINA
827,NORTE DE SANTANDER,ABREGO
835,SANTANDER,SOCORRO
845,ANTIOQUIA,URAMITA
847,CUNDINAMARCA,FOMEQUE
850,ANTIOQUIA,EL BAGRE
862,CUNDINAMARCA,CUCUNUBÁ
871,CÓRDOBA,LORICA
872,BOYACÁ,PUERTO BOYACÁ
873,CUNDINAMARCA,SESQUILÉ
884,QUINDÍO,PIJAO
885,QUINDÍO,QUIMBAYA
889,META,NO DEFINIDO
894,CASANARE,LA SALINA
899,MAGDALENA,PIJIÑO DEL CARMEN
900,NARIÑO,CUMBITARA
906,CUNDINAMARCA,LA VEGA
907,CUNDINAMARCA,SASAIMA
912,BOYACÁ,SAMACÁ
933,CALDAS,AGUADAS
934,BOYACÁ,MONGUA
938,HUILA,PALESTINA
940,CUNDINAMARCA,VERGARA
947,LA GUAJIRA,VILLANUEVA
950,MAGDALENA,ARACATACA
951,CESAR,TAMALAMEQUE
961,CUNDINAMARCA,PUERTO SALGAR
962,ANTIOQUIA,YOLOMBÓ
963,CALDAS,LA DORADA
967,CUNDINAMARCA,COTA
976,BOYACÁ,CERINZA
982,SANTANDER,SURATÁ
984,PUTUMAYO,PUERTO GUZMÁN
990,ANTIOQUIA,LA ESTRELLA
993,ATLÁNTICO,MANATÍ
994,ANTIOQUIA,LA UNIÓN
995,CÓRDOBA,SAN PELAYO
1005,NARIÑO,CUMBAL
1006,QUINDÍO,LA TEBAIDA
1011,ANTIOQUIA,SANTAFÉ DE ANTIOQUIA
1018,CUNDINAMARCA,SILVANIA
1021,CALDAS,NEIRA
1026,BOYACÁ,SOATÁ
1027,ATLÁNTICO,NO DEFINIDO
1033,VALLE DEL CAUCA,FLORIDA
1040,CUNDINAMARCA,CAQUEZA
1044,ANTIOQUIA,TURBO
1051,CUNDINAMARCA,GUADUAS
1054,NARIÑO,LOS ANDES
1057,ATLÁNTICO,PONEDERA
1058,CESAR,LA PAZ
1081,TOLIMA,ROVIRA
1082,CAQUETÁ,SAN VICENTE DEL CAGUÁN
1100,SANTANDER,BARICHARA
1103,CAUCA,FLORENCIA
1126,SANTANDER,LA BELLEZA
1127,QUINDÍO,NO DEFINIDO
1140,VALLE DEL CAUCA,CALIMA
1152,GUAVIARE,SAN JOSÉ DEL GUAVIARE
1158,CESAR,SAN ALBERTO
1162,CAUCA,BUENOS AIRES
1168,NORTE DE SANTANDER,EL ZULIA
1188,ANTIOQUIA,ABEJORRAL
1192,MAGDALENA,SITIONUEVO
1197,CUNDINAMARCA,GUACHETÁ
1200,HUILA,AIPE
1202,RISARALDA,APÍA
1204,HUILA,GARZÓN
1209,CAUCA,PAEZ
1219,ANTIOQUIA,SANTA BÁRBARA
1234,VALLE DEL CAUCA,ZARZAL
1246,SUCRE,CAIMITO
1261,ANTIOQUIA,PUERTO TRIUNFO
1264,ANTIOQUIA,CALDAS
1266,HUILA,PALERMO
1267,META,VISTAHERMOSA
1274,NARIÑO,SAN PABLO
1278,CUNDINAMARCA,VILLAPINZÓN
1280,BOYACÁ,RAMIRIQUÍ
1285,BOYACÁ,LABRANZAGRANDE
1289,ANTIOQUIA,TARAZÁ
1294,ARAUCA,NO DEFINIDO
1313,TOLIMA,CAJAMARCA
1318,CUNDINAMARCA,ANOLAIMA
1337,HUILA,PITALITO
1345,VALLE DEL CAUCA,BUENAVENTURA
1364,PUTUMAYO,NO DEFINIDO
1371,CUNDINAMARCA,UNE
1376,ANTIOQUIA,EL CARMEN DE VIBORAL
1395,BOLÍVAR,CALAMAR
1404,MAGDALENA,ZAPAYÁN
1426,NORTE DE SANTANDER,NO DEFINIDO
1470,ANTIOQUIA,GUARNE
1478,META,GUAMAL
1488,CUNDINAMARCA,PACHO
1507,CUNDINAMARCA,TENJO
1514,NARIÑO,CONTADERO
1530,BOLÍVAR,ARJONA
1538,ANTIOQUIA,PUERTO NARE
1543,HUILA,PAICOL
1544,NARIÑO,OLAYA HERRERA
1545,ATLÁNTICO,PUERTO COLOMBIA
1555,HUILA,NO DEFINIDO
1566,TOLIMA,PURIFICACIÓN
1577,CUNDINAMARCA,SAN FRANCISCO
1580,NARIÑO,IMUÉS
1585,NARIÑO,LA FLORIDA
1601,TOLIMA,FLANDES
1613,CAQUETÁ,VALPARAÍSO
1614,ANTIOQUIA,ARBOLETES
